Gene	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos
RNASE3	222.525438722857	1340.970396875	1923.771367	45.9815995908571	243.2839486375	86.44744101	353.224046355	40.879047199375	51.860504255
CEACAM3	37.4998247071429	278.7788326	803.761366675	36.8921168857143	44.10961847375	29.598655738625	144.0178521175	29.251342963875	21.8431401225
CABP5	10.8548818054286	115.9793124425	296.877626375	11.9031045138571	8.19512628675	15.242425445375	65.667129165	13.95134920475	3.28737190925
SST	61.9767239857143	90.1999414625	481.749108725	22.0046432211429	16.189343859125	20.870038651125	168.2291195575	19.363406388125	42.9511031075
ZBTB12	59.0844563257143	59.953971935	422.8711204	15.7594473317143	19.66865208	15.718470519625	290.8919757925	17.941513393125	44.624502165
AADACL2	19.2517209524286	14.8717147265	216.3399182225	12.932464397	5.006374744125	6.015826366125	47.65812785475	7.86192596	18.2151195265
GATA6	35.6069723414286	108.67586446	282.34402395	3.15194527171429	19.7668961995	12.924422474625	43.8728816515	20.717824867375	9.87780373425
KRT14	96.7945282842857	572.17033775	1815.00385493	28.8625359514286	43.301882702375	32.4979798215	1786.0111372025	37.3419959715	38.08087623
AZU1	1032.84299554286	1369.494178525	2951.975705475	36.0250217568571	393.16428503875	163.305528040375	399.936004925	31.284417600375	29.9103766675
STX1B	15.4343267614286	226.2105970275	305.166611485	7.55062864514286	5.537958138875	7.454633337	32.5716637325	7.5933052075	10.11330433
BTNL8	21.27026504	200.9044027	437.2951716125	14.2386786235714	8.426037772375	16.23821661625	75.1925273825	17.891216468375	8.95302941425
CDH12	43.6098461578571	58.28090363025	288.058556975	15.1768187075714	10.894460131875	5.591215292375	44.53255445025	19.35238929525	5.17427052675
CDH17	62.2547348114286	230.14988538	520.500526325	39.0773785164286	9.699286673125	9.972044671375	166.21927056575	21.92778039975	17.3331780775
KIR3DS1	59.9586731111429	174.71196408	631.6225789	38.5646539535714	33.717873863125	28.3202222205	175.14364569	28.90346702425	25.2146281615
DSPP	27.6133795705714	25.18490841675	294.592017975	31.1066115042857	11.96043408525	19.283137474875	90.989408749	31.77928718775	11.21728302975
KIF2B	27.8637338898571	129.5490189775	313.121623225	19.5164976214286	23.62717887275	14.4629996365	67.2511044625	14.05431977425	26.37787310275
B4GALNT3	16.3831428305714	100.3523866125	335.13969985	11.0488081774286	11.91671512	9.97199909075	199.6152124	31.9243496145	12.29806113425
HBA1	22372.5467560714	31781.46456625	14555.173235925	1087.75424048286	101.61420600375	273.27816604625	28945.434346025	132.07542318	98.1598308
TAS1R2	49.372205965	107.7121762925	255.921076175	6.321759875	16.157265555125	9.020533655875	62.98268746	12.927570431625	4.60685798275
KIF17	151.974725678571	211.951227895	556.831051275	15.5201246435714	38.578242147625	66.85450711625	45.8591351175	22.984105441625	61.948290227
DUOX1	35.4327882561429	59.951547635	293.499798125	23.487037767	12.12780964	17.094530720875	181.46784254575	11.43969584625	21.22270248875
ZNF560	34.4045716411429	137.142514515	228.137485855	10.9644749871429	6.0506826925	12.438388692	16.58269700825	18.045633270375	6.518030835
ATP6V0A4	40.4577424415714	114.735112645	394.868908525	34.9252757328571	13.51474060975	16.65197218675	201.6273834275	22.440482933	18.53875887725
CCDC158	37.7796481542857	52.6456606425	331.025515725	20.9540333868571	26.0098494805	15.5390777755	184.37907308	24.102185380125	15.2493574285
ZNF208	19.704101089	53.13372908	135.70796542	2.87902465685714	6.51335546175	5.645836393875	49.79471469075	7.354942605	16.81024290375
ATCAY	62.8313827285714	142.9591202775	708.132553225	32.5898499478571	45.92462001125	37.673295882375	139.72950245	31.8844710475	36.79964868875
EMCN	18.608420166	115.5052912625	108.05271743	461.091704942857	11.155036668375	23.73755148575	25.2179662725	266.3420228	153.5627684
PLSCR4	78.9539142471429	486.497149575	540.9640853575	1662.9788687	45.22098906125	56.651078945	200.339943225	1203.7094905875	553.214201325
EPPK1	15.2722482728571	70.886978995	65.099454595	313.303406947143	11.192520438375	25.309576080375	10.906770168	167.348761471	49.1008133675
TIAM2	51.12299757	60.3570260275	75.4978822675	610.591707542857	34.83263722	48.00519370125	26.797351215	370.097546975	173.65171031
SETBP1	124.177875255714	148.1742874	267.570231575	1246.73357164286	28.085730928	119.872222225	77.8278849925	833.7304169125	1766.91052
CYYR1	44.7736903328571	226.952386785	216.741560105	1103.62645715714	114.61088731725	75.8278709015	243.1568917725	819.3996107625	475.2358531
NR4A2	619.515778908571	1021.010821725	867.849922325	5552.28927771429	486.808678135	604.2808522575	540.544682325	4087.9251807	1728.538937625
COL5A1	143.959674972857	205.93734216	104.740030535	1137.75342497143	50.074483512	47.119078946375	228.659859475	828.262871225	682.0161531
FOXA3	27.6374669528571	44.239035625	233.4769015825	331.352483285714	24.693004301375	28.3609163235	51.151311615	196.361925375	43.3257668175
FAM133A	46.238325517	60.403661325	74.719576295	331.044801385714	12.999488350125	42.914771691625	109.24358146375	220.0579952925	38.975811762
TC2N	45.9588839828571	121.8638418225	93.8474751175	268.826912957143	13.23083855775	19.769820340125	15.498432515	233.7036104225	26.69341867125
FXYD6	51.7319651775714	213.1682310825	319.303980565	912.008158785714	66.6916390145	42.597318134625	93.37239882	481.7603385875	505.5953476
THRB	65.30200355	266.04595955	206.6723115575	653.940505914286	26.642474431625	38.422582396875	161.6584155075	579.23918945	70.64492976
RNF150	58.63182855	74.3532999	368.5105683	595.661391757143	34.2368998275	34.18035701425	49.30645645	485.506843075	337.957807575
